
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=3.173788e+04 cycle=77000 time=5.446383e-02 dt=1.032772e-21
elapsed=3.214873e+04 cycle=78000 time=5.446383e-02 dt=1.035257e-21
elapsed=3.255971e+04 cycle=79000 time=5.446383e-02 dt=1.036296e-21
elapsed=3.297053e+04 cycle=80000 time=5.446383e-02 dt=1.036526e-21
elapsed=3.338098e+04 cycle=81000 time=5.446383e-02 dt=1.036058e-21
elapsed=3.379119e+04 cycle=82000 time=5.446383e-02 dt=1.035090e-21
elapsed=3.420124e+04 cycle=83000 time=5.446383e-02 dt=1.034442e-21
elapsed=3.461108e+04 cycle=84000 time=5.446383e-02 dt=1.034566e-21
elapsed=3.502062e+04 cycle=85000 time=5.446383e-02 dt=1.034678e-21
elapsed=3.542970e+04 cycle=86000 time=5.446383e-02 dt=1.035345e-21
elapsed=3.583894e+04 cycle=87000 time=5.446383e-02 dt=1.036828e-21
elapsed=3.624832e+04 cycle=88000 time=5.446383e-02 dt=1.039263e-21
elapsed=3.665804e+04 cycle=89000 time=5.446383e-02 dt=1.037678e-21
elapsed=3.706766e+04 cycle=90000 time=5.446383e-02 dt=1.034456e-21
elapsed=3.747721e+04 cycle=91000 time=5.446383e-02 dt=1.031539e-21
elapsed=3.788672e+04 cycle=92000 time=5.446383e-02 dt=1.030256e-21
elapsed=3.829620e+04 cycle=93000 time=5.446383e-02 dt=1.029731e-21
elapsed=3.870548e+04 cycle=94000 time=5.446383e-02 dt=1.029359e-21
elapsed=3.911460e+04 cycle=95000 time=5.446383e-02 dt=1.028248e-21
elapsed=3.952349e+04 cycle=96000 time=5.446383e-02 dt=1.026163e-21
elapsed=3.993216e+04 cycle=97000 time=5.446383e-02 dt=1.024145e-21
elapsed=4.034077e+04 cycle=98000 time=5.446383e-02 dt=1.028895e-21
elapsed=4.074949e+04 cycle=99000 time=5.446383e-02 dt=1.031547e-21
elapsed=4.115829e+04 cycle=100000 time=5.446383e-02 dt=1.038045e-21
elapsed=4.156717e+04 cycle=101000 time=5.446383e-02 dt=1.035696e-21
elapsed=4.197633e+04 cycle=102000 time=5.446383e-02 dt=1.032437e-21
elapsed=4.238548e+04 cycle=103000 time=5.446383e-02 dt=1.033982e-21
