
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=8.099256e+04 cycle=182000 time=5.171258e-03 dt=1.085253e-25
elapsed=8.143768e+04 cycle=183000 time=5.171258e-03 dt=1.189553e-25
elapsed=8.188277e+04 cycle=184000 time=5.171258e-03 dt=1.309648e-25
elapsed=8.232783e+04 cycle=185000 time=5.171258e-03 dt=1.415213e-25
elapsed=8.277288e+04 cycle=186000 time=5.171258e-03 dt=1.501865e-25
elapsed=8.321788e+04 cycle=187000 time=5.171258e-03 dt=1.591613e-25
elapsed=8.366286e+04 cycle=188000 time=5.171258e-03 dt=1.691664e-25
elapsed=8.410781e+04 cycle=189000 time=5.171258e-03 dt=1.802493e-25
elapsed=8.455275e+04 cycle=190000 time=5.171258e-03 dt=1.920410e-25
elapsed=8.499771e+04 cycle=191000 time=5.171258e-03 dt=2.024074e-25
elapsed=8.544266e+04 cycle=192000 time=5.171258e-03 dt=2.122360e-25
elapsed=8.588757e+04 cycle=193000 time=5.171258e-03 dt=2.196078e-25
elapsed=8.633247e+04 cycle=194000 time=5.171258e-03 dt=2.260750e-25
